ineff,eff,C_r,alpha,NTU,T_H_out,T_C_out,run
0.2609,0.7391,0.3000,0.3000,1.5849,516.74,492.81,158
0.2811,0.7189,0.4000,0.3000,1.5849,476.97,480.79,159
0.4224,0.5776,0.4000,0.1000,1,511.36,396.58,16
0.2997,0.7003,0.5000,0.3000,1.5849,439.85,469.92,160
0.3192,0.6808,0.6000,0.3000,1.5849,404.95,457.91,161
0.3391,0.6609,0.7000,0.3000,1.5849,371.48,446.76,162
0.3587,0.6413,0.8000,0.3000,1.5849,341.55,434.18,163
0.3777,0.6223,0.9000,0.3000,1.5849,313.33,423.24,164
0.3963,0.6037,1,0.3000,1.5849,288.03,411.73,165
1.0000,-1.1699e-05,0,0.4000,1.5849,0,0,166
0.2242,0.7758,0.1000,0.4000,1.5849,603.45,515.5,167
0.2437,0.7563,0.2000,0.4000,1.5849,559.24,503.78,168
0.2638,0.7362,0.3000,0.4000,1.5849,516.84,490.55,169
0.4358,0.5642,0.5000,0.1000,1,480.75,388.46,17
0.2832,0.7168,0.4000,0.4000,1.5849,477.88,479.75,170
0.3033,0.6967,0.5000,0.4000,1.5849,440.98,468.01,171
0.3222,0.6778,0.6000,0.4000,1.5849,406.94,456.77,172
0.3420,0.6580,0.7000,0.4000,1.5849,374.19,444.02,173
0.3618,0.6382,0.8000,0.4000,1.5849,344.06,432.6,174
0.3816,0.6184,0.9000,0.4000,1.5849,315.75,420.22,175
0.4005,0.5995,1,0.4000,1.5849,290.68,409.36,176
1.0000,-1.3334e-05,0,0.5000,1.5849,0,0,177
0.2249,0.7751,0.1000,0.5000,1.5849,603.55,515.28,178
0.2453,0.7547,0.2000,0.5000,1.5849,559.34,502.63,179
0.4490,0.5510,0.6000,0.1000,1,451.71,380.54,18
0.2661,0.7339,0.3000,0.5000,1.5849,518.05,490.98,180
0.2850,0.7150,0.4000,0.5000,1.5849,478.63,478.15,181
0.3070,0.6930,0.5000,0.5000,1.5849,442.02,466.13,182
0.3269,0.6731,0.6000,0.5000,1.5849,407.71,454.21,183
0.3468,0.6532,0.7000,0.5000,1.5849,374.62,441.58,184
0.3678,0.6322,0.8000,0.5000,1.5849,345.42,429.36,185
0.3861,0.6139,0.9000,0.5000,1.5849,318.29,418.09,186
0.4051,0.5949,1,0.5000,1.5849,293.65,407.65,187
1.0000,-1.4655e-05,0,0.6000,1.5849,0,0,188
0.2262,0.7738,0.1000,0.6000,1.5849,603.6,514.54,189
0.4625,0.5375,0.7000,0.1000,1,424.13,372.44,19
0.2471,0.7529,0.2000,0.6000,1.5849,559.69,501.79,190
0.2678,0.7322,0.3000,0.6000,1.5849,518.24,489.06,191
0.2889,0.7111,0.4000,0.6000,1.5849,479.33,476.35,192
0.3097,0.6903,0.5000,0.6000,1.5849,442.8,463.78,193
0.3301,0.6699,0.6000,0.6000,1.5849,409.21,452.11,194
0.3513,0.6487,0.7000,0.6000,1.5849,376.86,438.77,195
0.3707,0.6293,0.8000,0.6000,1.5849,347.93,427.57,196
0.3902,0.6098,0.9000,0.6000,1.5849,320.72,415.86,197
0.4084,0.5916,1,0.6000,1.5849,295.55,404.19,198
1.0000,-1.5834e-05,0,0.7000,1.5849,0,0,199
0.3849,0.6151,0.1000,1.0000e-04,1,610.01,481.76,2
0.4750,0.5250,0.8000,0.1000,1,398.21,364.78,20
0.2259,0.7741,0.1000,0.7000,1.5849,603.51,513.47,200
0.2481,0.7519,0.2000,0.7000,1.5849,560.02,501.22,201
0.2683,0.7317,0.3000,0.7000,1.5849,518.65,487.11,202
0.2911,0.7089,0.4000,0.7000,1.5849,480.79,475.91,203
